File Name,Source,Vanilla FPS,Vanilla Frames,Interpolated Frames,Is Interpolated,Excluded,Exclusion Reason
AshFlashBack_DeathME1.bik,LE3 MODS/AHEM,60,194,194,YES (BIK ONLY),MOV,
End02_Cit_Flower1.bik,LE3 MODS/AHEM,60,480,480,YES (BIK ONLY),NO,
End02_Cit_Flower2.bik,LE3 MODS/AHEM,60,240,240,YES (BIK ONLY),NO,
End02_Cit_Flower3.bik,LE3 MODS/AHEM,60,300,300,YES (BIK ONLY),NO,
End02_Cit_Flower4.bik,LE3 MODS/AHEM,60,266,266,YES (BIK ONLY),NO,
End03_AHEM_BrynnLondon.bik,LE3 MODS/AHEM,60,660,660,YES (BIK ONLY),NO,
End03_AHEM_RanGA_Geth.bik,LE3 MODS/AHEM,60,639,639,YES (BIK ONLY),NO,
End03_AHEM_RanGA_Geth_Short.bik,LE3 MODS/AHEM,60,444,444,YES (BIK ONLY),NO,
End03_AHEM_RanQGA_NoMask.bik,LE3 MODS/AHEM,60,600,600,YES (BIK ONLY),NO,
End03_D_CitPieces.bik,LE3 MODS/AHEM,60,1048,1048,YES (BIK ONLY),NO,
End03_D_FleetIntro.bik,LE3 MODS/AHEM,60,2356,2356,YES (BIK ONLY),NO,
End03_D_FutureEarth.bik,LE3 MODS/AHEM,60,600,600,YES (BIK ONLY),NO,
End03_D_LondonRio_Outro.bik,LE3 MODS/AHEM,60,1438,1438,YES (BIK ONLY),NO,
End03_D_MRDes_Good.bik,LE3 MODS/AHEM,60,3172,3172,YES (BIK ONLY),NO,
End03_Device_Dock_AHEM.bik,LE3 MODS/AHEM,60,4089,4089,YES (BIK ONLY),NO,
End03_NorDepart.bik,LE3 MODS/AHEM,60,1414,1414,YES (BIK ONLY),NO,
