File Name,Source,Vanilla FPS,Vanilla Frames,Interpolated Frames,Is Interpolated,Excluded,Exclusion Reason
artifact_movie_01.bik,LE1,30,8,16,NO,NO,Beacon vision videos not suited for interpolation
artifact_movie_02.bik,LE1,30,8,16,NO,NO,Beacon vision videos not suited for interpolation
artifact_movie_03.bik,LE1,30,13,26,NO,NO,Beacon vision videos not suited for interpolation
artifact_movie_04.bik,LE1,30,19,38,NO,NO,Beacon vision videos not suited for interpolation
artifact_movie_05.bik,LE1,30,20,40,NO,NO,Beacon vision videos not suited for interpolation
artifact_movie_06.bik,LE1,30,10,20,NO,NO,Beacon vision videos not suited for interpolation
artifact_movie_07.bik,LE1,30,12,24,NO,NO,Beacon vision videos not suited for interpolation
Citadel_Est.bik,LE1,30,360,720,YES (BIK ONLY),MOV,"In-game remake video made, not upscaled, already pre-validated"
DLC_UNC_Ending.bik,LE1,30,400,800,YES,NO,
DLC_UNC_Opening.bik,LE1,30,1004,2008,YES,NO,
END_70_C_Attack_Evil_CUT_01.bik,LE1,30,662,1324,YES,NO,
END_70_C_Attack_Evil_CUT_02.bik,LE1,30,744,1488,YES,NO,
END_70_C_Attack_Good_CUT_01.bik,LE1,30,463,926,YES,NO,
END_70_C_Attack_Good_CUT_02.bik,LE1,30,1073,2146,YES,NO,
END_90_F_SovereignDead_CUT_01.bik,LE1,30,658,1316,YES,NO,
END_90_F_SovereignDead_CUT_02.bik,LE1,30,159,318,YES,NO,
END_90_F_SovereignDead_CUT_03.bik,LE1,30,560,1120,YES,NO,
END_90_F_SovereignDead_CUT_04.bik,LE1,30,208,416,YES,NO,
END_90_F_SovereignDead_CUT_05.bik,LE1,30,243,486,YES,NO,
END_90_SovereignGood_CUT_01.bik,LE1,30,667,1334,YES,NO,
GLO_01_Relay.bik,LE1,30,270,540,YES,NO,
GLO_Relay_LOAD.bik,LE1,30,399,798,YES,NO,
Jug_70_Beacon_CUT_01.bik,LE1,29.97,3,6,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_02.bik,LE1,29.97,10,20,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_03.bik,LE1,29.97,12,24,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_04.bik,LE1,29.97,4,8,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_05.bik,LE1,29.97,27,54,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_06.bik,LE1,29.97,6,12,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_07.bik,LE1,29.97,6,12,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_08.bik,LE1,29.97,7,14,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_09.bik,LE1,29.97,7,14,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_10.bik,LE1,29.97,12,24,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_11.bik,LE1,29.97,7,14,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_12.bik,LE1,29.97,12,24,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_13.bik,LE1,29.97,23,46,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_14.bik,LE1,29.97,22,44,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_15.bik,LE1,29.97,19,38,NO,NO,Beacon vision videos not suited for interpolation
Jug_70_Beacon_CUT_16.bik,LE1,29.97,29,58,NO,NO,Beacon vision videos not suited for interpolation
load_f98.bik,LE1,29.97,27,54,NO,YES,Unused in-game
LOS_40_J_Attack_CUT_01.bik,LE1,30,1099,2198,YES,NO,
Mass_Effect_Logo_Movie.bik,LE1,30,230,460,NO,NO,"Pointless to interpolate, already looks smooth"
MEvisionSEQ3.bik,LE1,30,963,1926,NO,NO,Beacon vision videos not suited for interpolation
PRO_20_E_asariopening.bik,LE1,30,186,372,YES,NO,
STA_30_F_docking.bik,LE1,30,508,1016,YES,YES,"Unused in-game due to LE1 Community Patch, removed from ALOV"
STA_ArrivalSEQ01.bik,LE1,30,970,1940,YES,NO,
STA_ArrivalSEQ02.bik,LE1,30,201,402,YES,NO,
STA_ArrivalSEQ03.bik,LE1,30,265,530,YES,NO,
STA_ArrivalSEQ04.bik,LE1,30,176,352,YES,BIK,"Unused in-game due to LE1 Community Patch, removed from ALOV but MOV still needs checking"
STA_ArrivalSEQ04a.bik,LE1,30,214,428,YES (BIK ONLY),YES,LE1CP video - BIK only
sunset.bik,LE1,30,478,956,YES,NO,
UCW_Loading_Flyby.bik,LE1,30,150,300,YES,NO,
UplinkSEQ01.bik,LE1,30,533,1066,YES,NO,
UplinkSEQ02.bik,LE1,30,1793,3586,YES,NO,
Arv_100_AstArrival.bik,LE2/ARRIVAL,30,488,976,YES,NO,
Arv_Climax_Failure.bik,LE2/ARRIVAL,30,814,1628,YES (BIK ONLY),MOV,"This is a trucated version of Arv_Climax_Sht2, so is produced from that MOV instead"
Arv_Climax_Sht1.bik,LE2/ARRIVAL,30,60,120,YES,NO,
Arv_Climax_Sht2.bik,LE2/ARRIVAL,30,1112,2224,YES,NO,
Arv_FlashRelay.bik,LE2/ARRIVAL,30,60,120,YES,NO,
Arv_Flash_marker.bik,LE2/ARRIVAL,30,285,570,NO,NO,"Too many rapid flashing images, not suited for interpolation"
BlbGtl_100_Arrival1.bik,LE2/BASEGAME,30,408,816,YES,NO,
BlbGtl_100_Depart_Bad.bik,LE2/BASEGAME,30,439,878,YES,NO,
BlbGtl_100_Depart_Good.bik,LE2/BASEGAME,30,429,858,YES,NO,
CitHub_Arrival.bik,LE2/BASEGAME,30,1143,2286,YES,NO,
CitHub_Depart.bik,LE2/BASEGAME,30,514,1028,YES,NO,
Crit03_CollectArrive_Part1_2.bik,LE2/BASEGAME,30,308,616,YES,NO,
Crit03_CollectArrive_Part2_1.bik,LE2/BASEGAME,30,111,222,YES,NO,
